*******************************************************************************
Ephemeris / WWW_USER Tue Jan 27 23:38:08 2009  Pasadena, USA     / Horizons    
*******************************************************************************
Target body name: Uranus (799)                    {source: URA090}
Center body name: Earth (399)                     {source: DE405}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-02 00:00:00.0000 UT      
Stop  time      : A.D. 2099-Sep-30 00:00:00.0000 UT      
Step-size       : 10080 minutes
*******************************************************************************
Target pole/equ : IAU_URANUS                      {East-longitude +}
Target radii    : 25559.0 x 25559.0 x 24973.0 km  {Equator, meridian, pole}    
Center geodetic : .000000000,.000000000,.00000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: .000000000,.000000000,.00000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun                             {source: DE405+DE406}
Interfering body: MOON (Req= 1737.400) km         {source: DE405}
Deflecting body : Sun, EARTH                      {source: DE405}
Deflecting GMs  : 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
EOP file        : eop.090127.p090420                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2009-JAN-27. PREDICTS-> 2009-APR-19
Units conversion: 1 AU= 149597870.691 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Date_________JDUT, , ,           delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************
$$SOE
2415161.500000000, , ,18.0220167395053, -5.2958062, 250.9139308,  0.0458596,
2415168.500000000, , ,18.0078169054906, -1.7166178, 250.6280855,  0.0446976,
2415175.500000000, , ,18.0081619006839,  1.8823756, 250.3393254,  0.0434955,
2415182.500000000, , ,18.0229568299124,  5.4229985, 250.0535529,  0.0422769,
2415189.500000000, , ,18.0518877379896,  8.8737973, 249.7766827,  0.0410294,
2415196.500000000, , ,18.0945614478763, 12.2127660, 249.5138477,  0.0397364,
2415203.500000000, , ,18.1503735425340, 15.3584198, 249.2706919,  0.0384237,
2415210.500000000, , ,18.2183983237529, 18.2484246, 249.0521501,  0.0371115,
2415217.500000000, , ,18.2975600118537, 20.8692325, 248.8624991,  0.0357854,
2415224.500000000, , ,18.3867681929754, 23.2105404, 248.7052172,  0.0344335,
2415231.500000000, , ,18.4847641094803, 25.2058289, 248.5837140,  0.0330830,
2415238.500000000, , ,18.5900572175052, 26.8186720, 248.5007024,  0.0317512,
2415245.500000000, , ,18.7011090165263, 28.0598100, 248.4578376,  0.0304217,
2415252.500000000, , ,18.8164519579743, 28.9355261, 248.4562480,  0.0290835,
2415259.500000000, , ,18.9345137752640, 29.3987778, 248.4966489,  0.0277631,
2415266.500000000, , ,19.0535905047213, 29.4399785, 248.5793458,  0.0264712,
2415273.500000000, , ,19.1720318999395, 29.0929212, 248.7034181,  0.0251907,
2415280.500000000, , ,19.2883363124548, 28.3788068, 248.8678584,  0.0239135,
2415287.500000000, , ,19.4009573545084, 27.2688225, 249.0710748,  0.0226664,
2415294.500000000, , ,19.5083071298572, 25.7771053, 249.3114421,  0.0214526,
2415301.500000000, , ,19.6089388906767, 23.9562468, 249.5860463,  0.0202475,
2415308.500000000, , ,19.7016141412779, 21.8388309, 249.8923460,  0.0190495,
2415315.500000000, , ,19.7851008343609, 19.4121449, 250.2271043,  0.0178842,
2415322.500000000, , ,19.8582010688100, 16.7096333, 250.5873844,  0.0167475,
2415329.500000000, , ,19.9199294612062, 13.7988995, 250.9689401,  0.0156155,
2415336.500000000, , ,19.9695515222293, 10.7200115, 251.3682960,  0.0144889,
2415343.500000000, , ,20.0063789760451,  7.4734563, 251.7812143,  0.0133899,
2415350.500000000, , ,20.0298164895039,  4.1072203, 252.2039999,  0.0123118,
2415357.500000000, , ,20.0395338843588,  0.6991770, 252.6317581,  0.0112310,
2415364.500000000, , ,20.0354726554987, -2.7088543, 253.0603071,  0.0101499,
2415371.500000000, , ,20.0176396876526, -6.1082243, 253.4853656,  0.0090905,
2415378.500000000, , ,19.9861681705408, -9.4436207, 253.9028607,  0.0080401,
2415385.500000000, , ,19.9414795400969,-12.6343153, 254.3077337,  0.0069747,
2415392.500000000, , ,19.8842550717370,-15.6454478, 254.6962236,  0.0059039,
2415399.500000000, , ,19.8152267548350,-18.4682778, 255.0639869,  0.0048454,
2415406.500000000, , ,19.7352502535570,-21.0499487, 255.4074870,  0.0037848,
2415413.500000000, , ,19.6454520560891,-23.3169381, 255.7223085,  0.0027011,
2415420.500000000, , ,19.5471658761646,-25.2515376, 256.0055012,  0.0016079,
2415427.500000000, , ,19.4417214829681,-26.8543743, 256.2538206,  0.0005190,
2415434.500000000, , ,19.3305306693841,-28.0850816, 256.4648757, -0.0005824,
2415441.500000000, , ,19.2152168291190,-28.8877752, 256.6357856, -0.0017123,
2415448.500000000, , ,19.0975190225024,-29.2706932, 256.7652135, -0.0028537,
2415455.500000000, , ,18.9790833132681,-29.2519667, 256.8519152, -0.0039947,
2415462.500000000, , ,18.8615654377336,-28.8110435, 256.8954669, -0.0051525,
2415469.500000000, , ,18.7467422252695,-27.9177498, 256.8953980, -0.0063422,
2415476.500000000, , ,18.6363867116857,-26.6115078, 256.8527442, -0.0075382,
2415483.500000000, , ,18.5320723849993,-24.9317492, 256.7689842, -0.0087293,
2415490.500000000, , ,18.4352967113558,-22.8806048, 256.6462354, -0.0099358,
2415497.500000000, , ,18.3475753878818,-20.4568799, 256.4869329, -0.0111669,
2415504.500000000, , ,18.2702950379830,-17.7300195, 256.2947549, -0.0123920,
2415511.500000000, , ,18.2045450137689,-14.7583050, 256.0739652, -0.0136049,
2415518.500000000, , ,18.1512660814268,-11.5622796, 255.8290175, -0.0148267,
2415525.500000000, , ,18.1113328337416, -8.1651101, 255.5648263, -0.0160608,
2415532.500000000, , ,18.0853920661664, -4.6567573, 255.2869800, -0.0172729,
2415539.500000000, , ,18.0737394104631, -1.1032376, 255.0014900, -0.0184605,
2415546.500000000, , ,18.0764965107040,  2.4689370, 254.7138770, -0.0196467,
2415553.500000000, , ,18.0936858258009,  6.0251449, 254.4300213, -0.0208301,
2415560.500000000, , ,18.1250622063680,  9.4717650, 254.1557081, -0.0219788,
2415567.500000000, , ,18.1700453267152, 12.7515725, 253.8968346, -0.0230948,
2415574.500000000, , ,18.2279202486103, 15.8480460, 253.6581139, -0.0242020,
2415581.500000000, , ,18.2979029173040, 18.7302722, 253.4444871, -0.0252966,
2415588.500000000, , ,18.3789656958766, 21.3176260, 253.2601361, -0.0263507,
2415595.500000000, , ,18.4698246449388, 23.5751745, 253.1091516, -0.0273738,
2415602.500000000, , ,18.5691486651158, 25.5071383, 252.9940134, -0.0283917,
2415609.500000000, , ,18.6756077211664, 27.0956959, 252.9174728, -0.0293928,
2415616.500000000, , ,18.7876899315344, 28.2821302, 252.8811716, -0.0303551,
2415623.500000000, , ,18.9037341969193, 29.0584935, 252.8866849, -0.0312953,
